Entry,status,embl_xref,embl_protein_id
Q2FN14,efetch_failed,CP000254,ABD40673.1
P07191,ok,V00204,CAA23492.1
P19836,ok,M36071,AAA40995.1
P49583,ok,FO080866,CCD67344.1
Q9AI65,ok,AF279280,AAK28734.1
P13080,ok,M30443,AAA29351.1
Q5SKC5,ok,AB109239,BAC79245.1
Q9Z3R8,ok,AF045609,AAD12047.1
Q8ZYS2,ok,AE009441,AAL62921.1
O28007,ok,AE000782,AAB88977.1
Q9WYY1,ok,AE000512,AAD35596.1
Q96YD0,ok,BA000023,BAB67347.1
Q838U8,ok,AE016830,AAO80198.1
P43473,efetch_failed,Z32771,CAA83671.1
A0KJB0,ok,CP000462,ABK39429.1
Q38424,ok,X69893,CAA49517.1
P39423,ok,X98695,CAA67254.1
Q3ABT4,ok,CP000141,ABB15132.1
B1YJZ8,ok,CP001022,ACB61636.1
A9KHY1,ok,CP000885,ABX43828.1
A9H167,ok,AM889285,CAP57215.1
Q0C530,ok,CP000158,ABI78488.1
Q38XI1,ok,CR936503,CAI55100.1
A2PU44,efetch_failed,AAUU01000054,EAY40854.1
Q97HE6,ok,AE001437,AAK80024.1
B9DKM0,ok,AM295250,CAL28916.1
Q67ND8,ok,AP006840,BAD40805.1
C0ZC50,ok,AP008955,BAH43359.1
A4G8D5,ok,CU207211,CAL62772.1
Q12KR9,ok,CP000302,ABE55957.1
Q47HJ6,ok,CP000089,AAZ45685.1
Q7N0P6,ok,BX571871,CAE16207.1
B2RHB4,ok,AP009380,BAG32759.1
Q3K1L6,ok,CP000114,ABA44825.1
A5WDP0,ok,CP000713,ABQ93781.1
A5VKA1,ok,CP000705,ABQ83275.1
A7IGG9,ok,CP000781,ABS67112.1
Q8K9N9,ok,AE013218,AAM67839.1
A4TNQ8,ok,CP000668,ABP40920.1
B2GBV5,ok,AP008937,BAG27137.1
O34499,ok,AJ002571,CAA05581.1
Q492W6,ok,CP000016,AAZ40976.1
T2KMF9,ok,HG315671,CDF79910.1
Q7SID3,no_embl_cds_xref,,
P21220,ok,X64359,CAA45709.1
Q53117,ok,M74531,AAA26184.1
P13449,ok,X54074,CAA38011.1
Q9UVX1,ok,AF038128,AAF08980.1
O93795,ok,AB010809,BAA36162.1
D4ANV2,ok,ABSU01000004,EFE34963.1
Q7M3V4,no_embl_cds_xref,,
P97052,ok,U89363,AAC18419.1
O42790,ok,AF045574,AAC03052.1
Q8R2Y8,ok,AK028555,BAC26006.1
Q8ZYM4,ok,AE009441,AAL62969.1
Q14197,ok,CH471099,EAW89227.1
Q97CB4,ok,BA000011,BAB59330.1
Q12WH8,ok,CP000300,ABE52198.1
Q0AFF1,ok,CP000450,ABI59931.1
Q9CMW1,ok,AE004439,AAK02776.1
Q82EL5,ok,BA000030,BAC72311.1
Q1AXQ5,ok,CP000386,ABG03823.1
C6H178,ok,FN424352,CAZ66938.1
Q48727,ok,U60828,AAD11504.1
Q8D4H3,ok,AF305636,AAK15465.1
A6T8X0,ok,CP000647,ABR77041.1
O69315,ok,D85027,BAA28362.1
P00900,ok,AY027546,AAK37409.1
Q2LW77,efetch_failed,CP000252,ABC78335.1
P06558,ok,X04960,CAA28624.1
P09786,ok,M15733,AAA26018.1
Q06129,ok,M98048,AAA73380.1
P00363,ok,J01611,AAA23437.1
Q9U3X4,ok,AF211482,AAF21045.1
P00902,ok,M36636,AAA21903.1
O82663,ok,AB018119,BAA97282.1
Q59661,ok,U31902,AAA75177.1
P33802,no_embl_cds_xref,,
P27363,ok,X55001,CAA38747.1
P28855,ok,M75136,AAA88186.1
Q9E6P5,ok,AF243438,AAG14216.1
P09250,ok,X04370,CAA27919.1
P95189,ok,AL123456,CCP45948.1
P31038,efetch_failed,AJ235270,CAA14597.1
P56160,no_embl_cds_xref,,
Q9I6F6,ok,AE004091,AAG03724.1
P0DV34,ok,FM999788,CAX50163.1
Q9HFV5,ok,AF290199,AAG17873.1
Q8NS80,ok,BA000036,BAB98192.1
Q7RXQ8,ok,CM002238,ESA43286.1
O82782,ok,AB008929,BAA32457.1
Q9SHJ0,ok,AC007592,AAF24820.1
Q9LXM2,ok,AL353865,CAB88994.1
P40545,ok,X87341,CAA60779.1
Q6CQL7,ok,CR382124,CAH00868.1
Q9C2R2,ok,AL513410,CAC28578.1
Q17345,ok,BX284603,CAB60501.1
B8N7S7,ok,EQ963475,EED53146.1
Q4X084,ok,AAHF01000001,EAL93731.1
A1C7B5,ok,DS027045,EAW14286.1
Q5BAP5,ok,AACD01000039,EAA64496.1
A2QBQ3,ok,AM269996,CAK96300.1
B3E7P9,ok,CP001089,ACD95031.1
A5F1A0,ok,CP000626,ABQ18634.1
Q9LS39,efetch_failed,AB026658,BAB01117.1
Q2INJ4,ok,CP000251,ABC80380.1
A4FXW1,ok,CP000609,ABO35045.1
P61191,ok,AE017226,AAS11512.1
Q5WFS5,ok,AP006627,BAD64780.1
Q9HN21,ok,AE004437,AAG20400.1
Q8RHY7,ok,AE009951,AAL93952.1
Q5V3F0,ok,AY596297,AAV45952.1
P52496,ok,X95001,CAA64457.2
Q5V467,ok,AY596297,AAV45685.1
Q08387,ok,U43491,AAC49485.1
A5UKX2,ok,CP000678,ABQ86850.1
P79023,ok,U53216,AAB48240.1
P44303,ok,L42023,AAC23197.1
P14843,ok,X13514,CAA31865.1
Q54CR9,ok,AAFI02000196,EAL61054.1
P46245,ok,U11066,AAC43604.1
P16687,ok,J05260,AAA24347.1
Q9C1W9,efetch_failed,CU329671,CAC22607.1
Q52986,ok,M96263,AAA26352.1
Q9WYH8,ok,AE000512,AAD35429.1
P16679,ok,J05260,AAA24350.1
Q52984,ok,AL591985,CAC49851.1
Q55535,ok,BA000022,BAA10030.1
A5D7P0,ok,BC140630,AAI40631.1
P30310,ok,M94263,AAA49673.1
Q10038,ok,FO081082,CCD68973.1
O52787,ok,Y15162,CAA75430.1
P40997,ok,U16143,AAA64996.1
Q6C783,ok,CR382131,CAG79058.1
Q7SB53,ok,CM002238,ESA43219.1
P78587,ok,D83180,BAA11833.1
P16685,ok,J05260,AAA24344.1
Q6BT58,ok,CR382136,CAG86747.2
A4XCT1,ok,CP000667,ABP56738.1
Q9A3H7,ok,AE005673,AAK25189.1
Q3KH95,ok,CP000094,ABA72861.1
C1BA63,ok,AP011115,BAH52566.1
B0R2Q7,ok,AM774415,CAP13014.1
P77978,ok,U66004,AAB53697.2
Q8TH22,ok,AE009950,AAL80150.1
Q973E7,ok,BA000023,BAK54422.1
Q5Z2W1,efetch_failed,AP006618,BAD55230.1
A1VF73,ok,CP000527,ABM29089.1
A7I912,ok,CP000780,ABS56223.1
Q492H3,ok,CP000016,AAZ41126.1
Q6A6S8,ok,AE017283,AAT83535.1
Q6MQH6,ok,BX842647,CAE78471.1
P81942,no_embl_cds_xref,,
O15217,ok,AF050059,AAC72706.1
Q6AXY0,ok,BC079271,AAH79271.1
Q09652,ok,Z46934,CAA87039.1
P46419,ok,S75286,AAB32224.1
A1JHV9,ok,AM286415,CAL10192.1
Q8NSV0,efetch_failed,BA000036,BAB97960.1
C1DIC2,ok,CP001157,ACO76619.1
A4XPF7,ok,CP000680,ABP83223.1
Q1QXD7,ok,CP000285,ABE58871.1
B7UM69,ok,FM180568,CAS11459.1
B3QZE2,ok,CP001100,ACF13835.1
Q28W37,ok,CP000264,ABD53075.1
Q132N5,ok,CP000283,ABE40954.1
P36437,ok,L13782,AAA16321.1
B0TBM6,ok,CP000930,ABZ83865.1
Q9TZQ3,ok,BX284604,CCD62010.1
P30289,ok,M82920,AAA26809.1
P05798,no_embl_cds_xref,,
E3M3V1,ok,DS268423,EFO90587.1
Q84JL5,ok,AC012393,AAF26084.1
Q9SW48,ok,AL079347,CAB45447.1
Q10MC0,ok,DP000009,ABF95611.1
Q9FK88,ok,AB012244,BAB09123.1
F8DT27,ok,AF081588,AAA61488.1
G5EBV6,efetch_failed,BX284605,CCD65226.1
P54555,ok,D84432,BAA12624.1
A5W4Y8,ok,CP000712,ABQ79198.1
A6V271,ok,CP000744,ABR83447.1
Q5WGL6,ok,AP006627,BAD64489.1
Q5PR55,ok,BC086822,AAH86822.1
P86926,ok,AY009110,AAG27062.1
A8GES6,ok,CP000826,ABV41616.1
P32277,ok,X69459,CAA49218.1
Q8BHN7,ok,AK032226,BAC27770.1
Q10313,ok,CU329670,CAK9837959.1
A0M2G0,ok,CU207366,CAL66805.1
P38075,ok,X76078,CAA53690.1
Q5FPH2,ok,CP000009,AAW61724.1
P83589,no_embl_cds_xref,,
Q73G09,ok,AE017196,AAS14809.1
P00348,ok,AF027652,AAD20939.1
Q31IR4,ok,CP000109,ABB40959.1
Q0AVM2,ok,CP000448,ABI69232.1
P41938,ok,Z46240,CAA86312.1
P34439,ok,Z22178,CAA80153.1
A0A1S3YCW2,ok,AB110952,BAD06581.1
Q9RXR4,ok,AE000513,AAF09826.1
Q7VEG4,ok,AE017126,AAP99095.1
P29599,no_embl_cds_xref,,
Q7UTS2,ok,BX294139,CAD73363.1
P28842,ok,X62369,CAA44227.1
P00782,ok,K02496,AAB05345.1
P09230,ok,M17741,AAA35242.1
Q0DWC7,ok,AP004020,BAD22879.1
P94438,ok,D78508,BAA11400.1
P44604,ok,L42023,AAC21933.1
A8AAB6,efetch_failed,CP000816,ABU81868.1
Q5JIZ5,ok,AP006878,BAD85878.1
P71013,ok,U45883,AAB07348.1
P55183,ok,X99339,CAA67716.1
P41027,ok,Z27457,CAA81813.1
Q8H0W1,ok,AB020746,BAB02011.1
O31516,ok,AL009126,CAB12514.1
Q9I4D3,ok,AE004091,AAG04594.1
Q5M827,ok,BC088290,AAH88290.1
P57347,ok,BA000003,BAB12969.1
Q9I163,ok,AE004091,AAG05806.1
Q9I4C8,ok,AE004091,AAG04599.1
P73623,ok,BA000022,BAA17668.1
Q927E6,ok,AL596173,CAC98069.1
P0A070,efetch_failed,U65000,AAC44435.1
Q92EU3,ok,AL596164,CAC95598.1
Q9CIV7,ok,AE005176,AAK04347.1
Q92EU2,ok,AL596164,CAC95599.1
Q7S724,ok,CM002241,ESA42188.1
P76015,ok,U00096,AAC74284.2
O04147,ok,AL021711,CAA16750.1
P53314,ok,Y07703,CAA68969.1
Q0UME8,ok,CH445334,EAT85717.1
Q59PZ7,ok,CP017630,AOW31366.1
Q5BCC5,ok,AACD01000029,EAA64970.1
P43166,ok,M76423,AAA51923.1
O24855,ok,AE000511,AAD07077.1
Q16790,ok,CH471071,EAW58359.1
Q54Z25,ok,AAFI02000023,EAL68147.1
Q54K50,ok,AAFI02000103,EAL63633.1
O94255,ok,CU329671,CAA21790.2
P93844,ok,AB001919,BAA19466.1
P10901,ok,Y07497,CAA68800.1
Q9C5Y0,ok,AL031986,CAA21465.1
Q8GW72,ok,AC005851,AAC98456.1
Q5BMR2,efetch_failed,AY929154,AAX28839.1
Q9VTJ4,ok,AE014296,AAO41255.1
Q7XUR3,ok,AL606687,CAD41073.2
Q9BTY2,ok,AY358551,AAQ88915.1
Q2FSD3,ok,CP000254,ABD42309.1
D3S8C7,ok,CP001901,ADC69287.1
E3GW42,ok,CP002278,ADP77807.1
A0B870,ok,CP000477,ABK14894.1
O52354,ok,AF036708,AAB95409.1
P62050,ok,BX248360,CAE50779.1
Q7SI97,ok,LK023128,VUC57787.1
Q9K5Z8,ok,BA000004,BAB07656.1
Q4L941,ok,AP006716,BAE03834.1
F4BT36,efetch_failed,CP002565,AEB69325.1
P21439,ok,EF034088,ABJ53424.1
O95477,ok,AF275948,AAF86276.1
Q8IZY2,ok,AF311102,AAN04657.1
E9Q876,no_embl_cds_xref,,
P30007,ok,S57509,AAB19782.1
Q65199,ok,U18466,AAA65359.1
P89079,ok,S82508,AAB37504.1
Q9PKA2,ok,AE002160,AAF39402.1
O35600,ok,AF000149,AAC23916.1
B0R858,ok,AM774415,CAP14927.1
Q9VEG6,ok,AE014297,AAN13751.2
Q7QH73,ok,AAAB01008817,EAA05374.4
Q23490,ok,FO080155,CCD61675.1
Q743F4,ok,AE016958,AAS02948.1
O31465,ok,AB006424,BAA33141.1
Q13BB8,ok,CP000283,ABE38621.1
P77454,ok,U82664,AAB40239.1
Q1I8G2,ok,CT573326,CAK16066.1
Q19013,ok,Z49126,CAA88938.2
O59952,ok,AF054513,AAC08588.1
Q9QZH8,ok,AF264017,AAF74757.1
I1RFN8,ok,HG970332,CEF74827.1
Q20616,efetch_failed,Z66520,CAA91388.1
O14115,ok,CU329670,CAB11704.2
Q9FJ73,ok,AB015479,BAB08554.1
Q4PHZ2,ok,CM003140,KIS71842.1
Q9FJ78,ok,AB015479,BAB08549.1
Q9FJ72,ok,AB015479,BAB08555.1
Q3ED15,ok,AC023279,AAF79268.1
Q9FJ76,ok,AB015479,BAB08551.1
Q9L3Q5,ok,AJ271724,CAB71140.1
A0A0K3AUJ9,ok,BX284602,CCD68767.1
Q91191,ok,U27125,AAA91319.1
Q9ZUI0,ok,AC005967,AAD03374.1
Q9V3P0,ok,AE014298,AAF48253.1
Q8SS85,ok,AL590443,CAD26263.1
Q9STF0,ok,AL096859,CAB51189.1
P34208,ok,L13742,AAA79758.1
P63493,ok,LT708304,SIT99895.1
Q9TZM3,ok,FO081425,CCD71547.1
Q0KHV6,ok,AE014298,AAF46188.1
Q9URY4,ok,CU329670,CAB60011.1
P9WEP6,ok,CM000587,EWG48577.1
Q55424,ok,BA000022,BAA10524.1
P36912,ok,L06331,AAA24923.1
Q9L543,ok,AF257487,AAF69000.1
Q99Y92,ok,AF296340,AAK00850.1
B7GPC7,ok,CP001095,ACJ53522.1
A5ULG2,ok,CP000678,ABQ87040.1
P36913,ok,L06332,AAA24924.1
A4FZL8,ok,CP000609,ABO35652.1
Q12XK2,ok,CP000300,ABE51824.1
Q0W4U0,ok,AM114193,CAJ36603.1
P36911,efetch_failed,M80793,AAA24922.1
I3R7F2,ok,CP001868,AFK20162.1
I3R7F1,ok,CP001868,AFK20161.1
Q06101,ok,M95713,AAB80770.1
P54541,ok,D84432,BAA12610.1
O29730,ok,AE000782,AAB90713.1
P53003,ok,X92557,CAA63310.1
Q6MEK6,ok,BX908798,CAF22993.1
A7M907,ok,AM711639,CAM98335.1
Q3A6L1,ok,CP000142,ABA87996.1
Q0VPJ1,ok,AM286690,CAL16907.1
P43957,ok,L42023,AAC21838.1
Q823P5,ok,AE015925,AAP05110.1
B3EU20,efetch_failed,CP001102,ACE06722.1
Q57095,ok,Z37111,CAA85479.1
Q604Z9,ok,AE017282,AAU91561.1
P77580,ok,D86239,BAA13056.1
Q9ZC45,ok,AL031866,CAA21366.1
C1AVG3,ok,AP011115,BAH53653.1
A8LAA2,ok,CP000820,ABW12304.1
P11663,ok,U28377,AAA69096.1
A1TDB8,ok,CP000511,ABM15168.1
B1MJT8,ok,CU458896,CAM64445.1
Q4QAU9,ok,FR796420,CAJ04118.1
E9AE57,ok,FR796425,CBZ12536.1
Q04718,ok,L05611,AAA72317.1
P41606,ok,D17510,BAA04325.1
Q0SS74,ok,CP000312,ABG86929.1
P69242,ok,AB084950,BAC22693.1
P04051,ok,X03129,CAA26905.1
P0A1T4,ok,AJ224978,CAB37411.1
A1KCL2,ok,AM406670,CAL96568.1
B3QSU1,ok,CP001100,ACF12584.1
B5YH69,ok,CP001147,ACI21915.1
A8LSF1,ok,CP000830,ABV92765.1
Q9EWW6,ok,AL939110,CAC12933.1
Q1IW70,ok,CP000359,ABF46514.1
P22197,ok,X53058,CAA37226.1
Q9GP32,ok,AJ292376,CAC18550.1
P0A991,ok,U73760,AAB18249.1
Q9SJU4,ok,AC006841,AAD23681.2
Q7MQ88,ok,BA000037,BAC92884.1
Q0K6Y1,ok,AM260479,CAJ94240.1
Q0VTA8,ok,AM286690,CAL15612.1
Q8ZJ20,ok,AL590842,CAL18995.1
A1T086,ok,CP000510,ABM05151.1
Q99638,ok,AY766122,AAU89725.1
A5IW31,efetch_failed,CP000703,ABQ50404.1
Q91XB0,ok,AF151106,AAD48775.2
Q9BG99,ok,AF319575,AAK07622.1
G5EC44,ok,BX284603,CAB63359.2
P14746,ok,X17663,CAA35660.1
O74339,ok,CU329671,CAA20110.3
P53230,ok,DQ115391,AAZ22461.1
Q550P4,ok,AAFI02000019,EAL69026.1
Q3B7H2,ok,BC107608,AAI07609.1
P29240,ok,X62278,CAA44168.1
Q8INF2,ok,AE014297,AAN13621.1
O83142,ok,AE000520,AAC26552.1
P44569,ok,L42023,AAC21874.1
Q91YE9,ok,AJ295253,CAC44364.1
Q9I767,ok,AE004091,AAG03455.1
P54665,ok,X74598,CAA52676.1
P97377,ok,AJ223733,CAA11534.1
Q09437,ok,BX284602,CCD61471.1
P36615,ok,S59896,AAB26194.1
O35831,ok,AB005540,BAA22332.1
Q1LTP2,ok,CP000238,ABF13903.1
Q1D9W9,ok,CP000113,ABF92185.1
Q9JS33,ok,AE002098,AAF62325.1
B5EQW2,ok,CP001132,ACH84913.1
Q8KQT8,ok,AY056057,AAL05935.1
O05755,ok,Z95151,CAB08428.1
Q58988,ok,L77117,AAB99611.1
O26271,ok,AE000666,AAB84675.1
Q9X0X1,ok,AE000512,AAD36319.1
O28338,ok,AE000782,AAB89310.1
Q57877,ok,L77117,AAB98423.1
A0A0B0QJN8,ok,JSDP01000312,KHG38970.1
P20605,ok,M28363,AAA23773.1
Q6G2A9,ok,BX897699,CAF28110.1
Q87P32,ok,BA000031,BAC59949.1
P66774,ok,LT708304,SIT98448.1
O34635,ok,Y13937,CAA74258.1
P30744,ok,U29581,AAB40447.1
P56072,ok,AE000511,AAD07202.1
Q9UT61,ok,CU329670,CAB58728.1
O86564,ok,AL939123,CAA20172.1
O09159,ok,AF044192,AAC78560.1
P94078,ok,X98130,CAA66821.1
Q54YF7,ok,AAFI02000023,EAL68302.1
Q8LPJ3,ok,AB005230,BAB11126.1
A4SV64,ok,CP000655,ABP33378.1
C1D7C0,ok,CP001154,ACO74360.1
A1K973,ok,AM406670,CAL95378.1
Q9SRQ7,ok,AC009895,AAF01582.1
C1DHY3,ok,CP001157,ACO80716.1
P59026,ok,AF525415,AAM88377.1
P33378,ok,M82881,AAA25270.1
Q12FJ1,ok,CP000316,ABE42701.1
P0C216,ok,X17300,CAA35186.1
P09598,ok,X64141,CAA45502.1
Q04663,ok,AF163833,AAB00363.1
P42681,ok,U34379,AAB60412.1
Q03526,ok,L00619,AAA39337.1
Q8U1L4,ok,AB214633,BAE19947.1
A8DZJ1,ok,AM084226,CAJ29032.1
P9WMK7,ok,AL123456,CCP45791.1
Q94IC4,ok,AB062754,BAB60683.1
Q26061,ok,X90566,CAA62186.1
P49944,ok,U19760,AAC43322.1
Q504Y2,efetch_failed,CH471053,EAX00325.1
A0PYW1,ok,CP000382,ABK60881.1
Q5WHY0,ok,AP006627,BAD64025.1
Q8REG1,ok,AE009951,AAL95339.1
A6LHV2,ok,CP000140,ABR45266.1
A2RDX6,ok,AM295007,CAM30051.1
Q0STU4,ok,CP000312,ABG85336.1
A5I7X1,ok,CP000727,ABS36411.1
Q4ZWR7,ok,CP000075,AAY36405.1
Q9RXT9,ok,AE000513,AAF09800.1
B0U238,ok,CP000941,ACA11372.1
Q10215,ok,CU329670,CAA93346.2
P91247,ok,FO081119,CCD69260.1
P71121,ok,BA000036,BAB98094.1
Q08742,ok,Z75194,CAA99513.1
P26405,ok,X56793,CAA40129.1
Q98MC5,efetch_failed,BA000012,BAB48188.1
P37755,ok,L27646,AAA21138.1
P47723,ok,L13289,AAA25434.1
P47299,ok,L43967,AAC71269.1
D2S1F7,ok,CP001861,ADB63204.1
Q97UH6,ok,AE006641,AAK43143.1
Q9HS17,ok,AE004437,AAG18991.1
Q0W5A6,ok,AM114193,CAJ36437.1
Q06951,efetch_failed,X59554,CAA42135.1
Q7LYI9,ok,AE006641,AAK43106.1
P0DN22,no_embl_cds_xref,,
P0DN21,ok,KR703620,AKO62592.1
R1F493,ok,KB864391,EOD33735.1
R1ERP2,ok,KB865269,EOD25646.1
P25265,ok,X55141,CAA38941.1
P31033,no_embl_cds_xref,,
P0DN23,ok,KR703621,AKO62593.1
P25283,ok,D90363,BAA14378.1
P0AED9,ok,X13330,CAA31705.1
Q67472,ok,U15575,AAA86959.1
Q8RX28,ok,AB006696,BAB10369.1
Q8H0W2,ok,AL138652,CAB72470.1
Q94EJ2,ok,AC006932,AAF22892.1
Q5A960,ok,CP017630,AOW30956.1
Q5JJ82,ok,AP006878,BAD86003.1
O28275,ok,AE000782,AAB89250.1
Q3IT46,ok,CR936257,CAI48688.1
Q8GXJ1,efetch_failed,AB026658,BAB01118.1
E9FCP7,ok,ADNJ02000010,EFY94503.2
C7FF04,ok,GU936494,ADE67053.1
B0R349,ok,AM774415,CAP13159.1
P55022,ok,X95705,CAA65005.1
P33180,ok,X69526,CAA49273.1
O34349,ok,AF015775,AAB72067.1
C7FF05,ok,GU936493,ADE67052.1
A0A2K3DU55,ok,CM008965,PNW84070.1
P38812,ok,U00059,AAB68862.1
Q9LXR9,ok,AL353032,CAB88300.1
P0AD42,ok,X72336,CAA51063.1
Q1ZXF1,ok,AAFI02000073,EAS66856.1
Q92396,efetch_failed,U66807,AAB07484.1
P76082,ok,X97452,CAA66095.1
G4V4T7,ok,HE589771,CCD33162.1
Q52995,ok,L39265,AAA91095.1
P26281,ok,L06495,AAB53446.1
P71512,ok,U72662,AAB58893.1
O66550,ok,AE000657,AAC06507.1
Q6NL24,efetch_failed,Z97340,CAB10400.1
Q9HV71,ok,AE004091,AAG08114.1
P64144,ok,LT708304,SIU02264.1
A1A6M1,ok,AL035528,CAB36831.1
Q6UXH1,ok,CH471138,EAW73483.1
Q8GSJ6,ok,AC006434,AAF87111.1
Q93YN0,ok,CP002686,AEE76210.1
B2THT3,ok,CP001056,ACD24274.1
Q19267,ok,BX284604,CAA98055.1
Q5WEL9,ok,AP006627,BAD65191.1
P59574,ok,AE016826,AAO27207.1
P57887,ok,AE004439,AAK03001.1
Q888B8,ok,AE016853,AAO54641.1
O07641,ok,AF003336,AAB61408.1
Q2FUB7,ok,CP000254,ABD40545.1
P08625,ok,X07500,CAA30381.1
Q0RDN6,ok,CT573213,CAJ64430.1
Q985C8,ok,BA000012,BAB54134.1
O26739,ok,AE000666,AAB85148.1
Q6L2I0,ok,AE017261,AAT42822.1
A1S579,ok,CP000507,ABL99535.1
Q89JL8,ok,BA000040,BAC50530.1
P23659,ok,X55299,CAA39010.1
C6BX34,efetch_failed,CP001649,ACS78514.1
P23665,ok,M58520,AAA24894.1
P22699,ok,M33861,AAA52077.1
A0A4P8PKE4,ok,MK095629,QCQ84226.1
P97687,ok,U81295,AAC53195.1
P40009,ok,AF203695,AAF17573.1
O75355,ok,CH471055,EAW64600.1
Q8K0L2,ok,AY364442,AAQ84519.1
Q9USP2,ok,CU329672,CAB57847.1
Q5BEI9,efetch_failed,BN001308,CBF88276.1
P39010,ok,L31407,AAC41676.1
Q6FJ70,ok,CR380959,CAG62700.1
Q875M2,ok,AY145047,AAO32609.1
Q5AL27,ok,CP017623,AOW26929.1
Q3UMC0,efetch_failed,AL669927,CAM21041.1
Q0VA52,ok,BC121246,AAI21247.1
Q6FMP5,ok,CR380957,CAG61460.1
A7YSY2,ok,BC114696,AAI14697.1
Q21222,ok,BX284601,CAB00040.1
P32794,ok,U19729,AAB82355.1
Q9NXE4,ok,AC018804,AAY14883.1
Q6UWV6,ok,AY230663,AAP69661.1
Q9UAY4,ok,FO081096,CCD69084.1
Q6QGE7,ok,AY303686,AAP75892.1
P0A935,ok,U32224,AAC45723.1
Q10916,ok,FO080139,CCD61537.1
Q89AM2,ok,AE016826,AAO26972.1
Q6PFJ7,efetch_failed,BC057525,AAH57525.1
Q8K9A7,ok,AE013218,AAM67985.1
P41052,ok,U18785,AAB60060.1
Q9C168,ok,AY027545,AAK15808.2
Q59337,ok,D63898,BAA09937.1
Q9XZD5,ok,AF161267,AAD45528.2
Q9C169,ok,AY027544,AAK15807.1
Q9I1W8,ok,AE004091,AAG05535.1
B2U981,ok,CP001068,ACD26078.1
B4RCU4,ok,CP000747,ACG78281.1
A3PGF8,ok,CP000577,ABN75424.1
P56118,ok,AE000511,AAD07725.1
P43869,ok,L42023,AAC21972.1
Q1D5X9,ok,CP000113,ABF91367.1
P0A9L8,ok,J01665,AAA86433.1
P54893,ok,D25413,BAA05001.1
Q12740,ok,U33266,AAC49320.1
Q9CPE8,ok,AE004439,AAK02179.1
Q1AW87,ok,CP000386,ABG04341.1
Q67PG0,ok,AP006840,BAD40433.1
Q2G5S1,ok,CP000248,ABD26802.1
Q7NF35,ok,BA000045,BAC91633.1
C5DZU3,ok,CU928179,CAR29377.1
Q15TZ6,ok,CP000388,ABG40642.1
A5DL79,ok,CH408159,EDK39932.2
Q0U2R3,ok,CH445353,EAT78557.2
A8PRN6,ok,AAYY01000001,EDP45104.1
A5DS78,ok,CH981524,EDK42036.1
Q8EEA3,ok,AE014299,AAN55515.1
Q9CMR5,ok,AE004439,AAK02831.1
Q8DG35,ok,AE016795,AAO08557.2
P87242,ok,CU329672,CAB09764.1
Q1LUI2,ok,BX936317,CAK04454.1
Q28FE0,ok,CR762015,CAJ81971.1
Q6C195,ok,CR382132,CAG78376.1
Q5U3W0,ok,BC085372,AAH85372.1
Q6BRU4,ok,CR382136,CAG87244.1
P36982,ok,L15559,AAA02864.1
A0KWB6,ok,CP000469,ABK48085.1
Q93YS2,ok,AL138648,CAB86435.1
Q2G469,ok,CP000248,ABD27354.1
Q75AK8,ok,AE016817,AAS51839.1
Q8EBF9,ok,AE014299,AAN56550.2
Q9RH04,ok,AF088897,AAF18282.1
Q0VSY7,ok,AM286690,CAL15711.1
Q72RD4,ok,AE016823,AAS70400.1
B8D7U0,ok,CP001158,ACL30205.1
Q6HCY5,ok,AE017355,AAT63659.1
Q5WCF2,ok,AP006627,BAD65958.1
C1DJH1,ok,CP001157,ACO76756.1
A0AFT8,ok,AM263198,CAK19870.1
A0A0H2XEA6,ok,CP000050,AAY51280.1
B6YRK7,ok,AP010656,BAG83829.1
B2AHE3,ok,CU633749,CAP63192.1
P38049,ok,L10630,AAA71941.1
Q11TT6,ok,CP000383,ABG59178.1
A6GYJ4,ok,AM398681,CAL43167.1
Q9A1K3,ok,AE004092,AAK33314.1
A4XB58,ok,CP000667,ABP56157.1
Q9WZJ0,ok,AE000512,AAD35833.1
O24926,ok,AE000511,AAD07168.1
Q9REF4,ok,AJ132928,CAB63092.1
P44068,ok,L42023,AAC22546.1
Q885J3,ok,AE016853,AAO55358.1
Q3Z8V0,ok,CP000027,AAW40085.1
Q494E6,ok,CP000016,AAZ40872.1
Q983B0,ok,BA000012,BAB54296.1
P26239,ok,Z11165,CAA77538.1
Q9SJE1,ok,AC006932,AAF22895.1
Q2W4S6,ok,AP007255,BAE51149.1
O22436,ok,AF014053,AAB97153.1
O07345,ok,AB003135,BAA20346.1
Q93SW0,ok,AY005135,AAG12406.1
P07902,ok,M96264,AAA74450.1
P13212,ok,M18953,AAA26746.1
P09580,ok,X07039,CAA30091.1
O33836,ok,AJ001072,CAA04515.1
Q9VMA2,ok,AE014134,AAF52419.2
P26990,ok,X03682,CAA27317.1
Q2KI07,ok,BC112814,AAI12815.1
Q9H628,ok,CH471094,EAW96385.1
Q6ZEM6,ok,AP004310,BAD01874.1
Q94231,ok,FO080446,CCD63776.1
P08692,ok,J02591,AAA21096.1
P0CF87,ok,U36840,AAA79806.1
Q96361,efetch_failed,U38470,AAB17725.1
P44589,ok,L42023,AAC21906.1
Q336M7,ok,AC018727,AAG46175.1
Q7F1X5,ok,AP003791,BAB90527.1
A0A2H5AIY4,ok,MF416094,AUG71939.1
Q8RU95,ok,AP003313,BAB89961.1
Q10S72,ok,DP000009,ABF93822.1
P63621,efetch_failed,AL157959,CAM07558.1
